title,handle,text,deleted
realDonaldTrump (R-Fla.),@realDonaldTrump,"Mike Pence didn’t have the courage to do what should have been done to protect our Country and our Constitution, giving States a chance to certify a corrected set of facts, not the fraudulent or inaccurate ones which they were asked to previously certify. USA demands the truth!",Deleted after 4 hours at 7:15 PM on 06 Jan 21. 
realDonaldTrump (R-Fla.),@realDonaldTrump,GEORGIA! https://t.co/xhsIPAmp6S QT @realDonaldTrump: The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been… https://t.co/pWIpmh6wO6),Deleted after 11 minutes at 11:30 AM on 18 Nov 20. 
realDonaldTrump (R-Fla.),@realDonaldTrump,RT @JackPosobiec: Why did CNN cut her off after she destroyed their Islamophobia hoax? https://t.co/zYepQbVqn8,Deleted after 87 weeks at 11:40 PM on 19 Nov 20. Original tweet by @JackPosobiec.
realDonaldTrump (R-Fla.),@realDonaldTrump,"RT @JackPosobiec: “Teen stabbed about 100 times and set on fire in MS-13 murder, police\xa0say” https://t.co/Xrj1j9h7qe",Deleted after 87 weeks at 11:39 PM on 19 Nov 20. Original tweet by @JackPosobiec.
realDonaldTrump (R-Fla.),@realDonaldTrump,"Just found thousands of more ballots, and the recount is relatively meaningless without being given access to the signatures. Consent decree is a scam that Georgia Secretary of State or Governor should never have let happen. Unconstitutional. Open it up! QT @realDonaldTrump: Georgia won’t let us look at the all important signature match. Without that the recount is MEANINGLESS. Open up un… https://t.co/q7AT8sKvKs)",Deleted after 7 minutes at 9:13 PM on 17 Nov 20. 
realDonaldTrump (R-Fla.),@realDonaldTrump,"THE COVID DRUGS NOW AVAILABLE TO MAKE PROPLE BETTER ARE AMAZING, BUT SELDOM TALKED ABOUT BY THE MEDIA! Mortality rate is 85% down!",Deleted after 3 hours at 11:38 AM on 19 Nov 20. 
realDonaldTrump (R-Fla.),@realDonaldTrump,RT @JackPosobiec: Amazing Trump address and only @OANN covered the full day on cable!,Deleted after 71 weeks at 11:18 PM on 19 Nov 20. Original tweet by @JackPosobiec.
realDonaldTrump (R-Fla.),@realDonaldTrump,RT @realDonaldTrump: Check out @PastorDScott’s new show tonight at 7:00pm on @RealAmVoice. Good luck Darrell! QT @PastorDScott: IT’S ON TONIGHT!!!!! 7pm on \u2066@RealAmVoice\u2069 Television Network! \u2066@theangiestanton\u2069 and \u2066@TheLeoTerrell\u2069 will be talk… https://t.co/53JCDGg5mM),Deleted after 43 minutes at 3:37 PM on 21 Nov 20. Original tweet by @realDonaldTrump.
realDonaldTrump (R-Fla.),@realDonaldTrump,RT @k_kamehameha: @DailyCaller They're not trying to hide anything. They operate in the open knowing nobody will do a single thing ab… https://t.co/mbKjlcZ557,Deleted after 27 weeks at 9:26 PM on 21 Nov 20. Original tweet by @k_kamehameha.
realDonaldTrump (R-Fla.),@realDonaldTrump,....WILL APPEAL!!!,Deleted after 50 minutes at 11:54 PM on 21 Nov 20. 
